rental_duration,rental_rate,length,replacement_cost,category_name,is_popular
3,0.99,85,11.99,Horror,1
7,2.99,76,24.99,Animation,0
6,0.99,73,21.99,Family,1
3,0.99,115,20.99,New,1
3,4.99,109,14.99,Action,0
3,0.99,98,12.99,Comedy,0
5,0.99,92,19.99,Comedy,0
7,2.99,169,16.99,Comedy,1
4,2.99,63,13.99,Drama,0
7,4.99,124,19.99,Travel,0
6,2.99,83,10.99,Children,0
4,0.99,168,10.99,Drama,1
3,2.99,122,27.99,Family,1
6,4.99,87,12.99,Action,1
6,4.99,185,11.99,Games,1
7,4.99,122,20.99,Games,0
4,2.99,113,13.99,Games,1
3,0.99,70,14.99,Documentary,1
3,2.99,160,20.99,Sports,1
6,0.99,157,27.99,Games,1
4,0.99,143,16.99,Classics,1
4,2.99,100,19.99,Games,1
7,4.99,59,14.99,Foreign,1
6,0.99,105,21.99,Foreign,1
6,0.99,151,26.99,Drama,1
3,0.99,74,20.99,Documentary,1
3,4.99,135,19.99,Animation,1
7,2.99,156,14.99,Children,1
5,2.99,48,12.99,Comedy,1
4,2.99,125,22.99,Sci-Fi,1
6,0.99,115,25.99,Comedy,0
6,0.99,78,28.99,Classics,1
6,4.99,181,28.99,Foreign,0
4,0.99,55,20.99,Documentary,1
7,4.99,48,9.99,Foreign,1
6,4.99,77,20.99,Documentary,1
4,2.99,145,23.99,Sci-Fi,1
6,4.99,109,10.99,Travel,1
5,0.99,67,23.99,Children,0
3,0.99,112,9.99,Animation,1
3,0.99,48,20.99,Family,1
3,2.99,138,27.99,Sports,1
4,0.99,53,25.99,Children,1
6,2.99,85,10.99,New,1
7,4.99,179,29.99,Drama,1
4,2.99,56,29.99,Documentary,1
4,4.99,140,14.99,New,1
3,4.99,149,22.99,Action,1
4,4.99,111,19.99,Sci-Fi,1
7,4.99,150,25.99,Games,1
5,0.99,53,25.99,Classics,1
7,2.99,152,21.99,Drama,0
5,2.99,177,29.99,Action,1
7,2.99,176,14.99,Family,0
7,0.99,122,22.99,Drama,1
7,0.99,176,26.99,Classics,1
6,4.99,121,11.99,Music,1
7,2.99,85,18.99,Classics,1
7,2.99,136,24.99,Comedy,0
7,0.99,128,12.99,Family,1
4,0.99,122,15.99,Foreign,1
5,0.99,161,12.99,Music,0
5,4.99,129,17.99,Action,0
5,0.99,92,20.99,Drama,1
3,4.99,148,20.99,Music,1
4,0.99,60,27.99,Action,1
3,0.99,54,12.99,Music,1
6,0.99,181,10.99,Foreign,1
4,4.99,119,22.99,Horror,1
6,0.99,57,27.99,Animation,1
7,0.99,174,21.99,Classics,0
6,2.99,93,12.99,Documentary,1
4,0.99,148,22.99,Documentary,1
4,2.99,139,22.99,Classics,1
7,4.99,185,15.99,Music,1
6,2.99,165,22.99,Action,1
6,2.99,137,22.99,Family,1
5,0.99,134,20.99,Children,1
6,4.99,51,20.99,Documentary,1
4,4.99,154,18.99,Sci-Fi,1
6,4.99,110,15.99,Comedy,1
5,2.99,137,14.99,Foreign,1
3,2.99,75,23.99,Foreign,1
6,0.99,98,29.99,Family,1
6,0.99,126,22.99,Action,0
7,2.99,120,10.99,Sci-Fi,0
3,4.99,102,11.99,Children,1
6,2.99,174,21.99,Sports,1
4,0.99,64,10.99,Sports,1
7,2.99,82,17.99,Comedy,1
6,0.99,62,21.99,Games,1
3,0.99,89,17.99,New,1
7,4.99,152,11.99,Sports,0
5,2.99,147,13.99,Foreign,1
7,2.99,154,23.99,Children,1
6,2.99,184,22.99,Foreign,0
7,0.99,114,11.99,Horror,1
7,4.99,65,25.99,Drama,1
4,4.99,52,19.99,Family,0
3,2.99,85,25.99,Travel,1
7,4.99,117,14.99,Music,1
5,0.99,175,16.99,Family,1
4,4.99,61,17.99,Action,1
6,0.99,64,19.99,Sports,0
3,2.99,182,22.99,Comedy,1
4,0.99,155,20.99,Foreign,1
7,0.99,174,27.99,Drama,1
3,2.99,71,29.99,Documentary,1
3,2.99,67,12.99,Comedy,1
4,2.99,141,19.99,Family,0
7,2.99,91,28.99,Sci-Fi,0
7,4.99,161,22.99,Foreign,1
6,4.99,53,27.99,Family,1
3,2.99,178,17.99,Sports,1
5,4.99,113,21.99,Sci-Fi,1
4,4.99,128,13.99,Classics,1
7,2.99,80,10.99,Comedy,1
7,0.99,179,22.99,Horror,0
4,2.99,90,18.99,Travel,1
5,4.99,47,21.99,Music,1
3,0.99,86,19.99,Action,1
7,4.99,129,13.99,Horror,1
4,0.99,89,23.99,Classics,1
6,0.99,58,27.99,Action,1
4,2.99,47,22.99,Action,1
7,4.99,148,17.99,Travel,1
6,2.99,123,26.99,New,1
6,4.99,183,13.99,Music,1
5,0.99,123,26.99,Horror,1
4,0.99,125,12.99,Travel,0
5,4.99,143,26.99,Sci-Fi,1
6,4.99,79,19.99,Action,1
5,4.99,154,16.99,Foreign,0
7,4.99,80,25.99,Sports,1
4,2.99,119,17.99,Foreign,1
4,2.99,137,25.99,New,1
3,4.99,80,21.99,Sci-Fi,1
5,0.99,58,17.99,Action,1
6,2.99,149,19.99,Classics,1
5,0.99,59,16.99,Foreign,0
3,0.99,142,29.99,Animation,1
4,0.99,151,26.99,Documentary,0
7,4.99,182,23.99,Music,0
6,0.99,143,27.99,Children,1
3,2.99,142,13.99,Comedy,1
4,4.99,152,23.99,Children,1
7,2.99,102,26.99,Children,1
5,4.99,118,11.99,Horror,1
7,0.99,101,18.99,Animation,0
4,4.99,112,14.99,Family,1
5,2.99,75,23.99,Family,1
7,4.99,153,29.99,Classics,0
6,4.99,182,20.99,Games,0
6,0.99,117,12.99,Family,1
6,2.99,170,15.99,Family,1
7,0.99,133,27.99,Games,1
4,4.99,145,27.99,Drama,1
3,4.99,74,25.99,Travel,1
3,0.99,122,24.99,Documentary,1
6,4.99,56,9.99,Foreign,0
4,0.99,163,29.99,Foreign,1
7,0.99,111,23.99,Family,1
3,4.99,123,21.99,New,1
6,0.99,86,20.99,Documentary,1
5,0.99,70,16.99,Comedy,1
3,0.99,76,19.99,Drama,0
6,2.99,99,24.99,Drama,1
5,2.99,169,10.99,Horror,0
6,2.99,61,13.99,Travel,1
5,0.99,184,9.99,Animation,1
7,4.99,131,16.99,Sci-Fi,1
6,0.99,154,29.99,Games,1
6,4.99,165,16.99,Games,1
3,0.99,92,9.99,Animation,1
5,4.99,112,25.99,Action,1
6,2.99,107,24.99,Drama,0
5,4.99,92,16.99,Family,1
3,2.99,77,23.99,Sports,1
3,0.99,61,26.99,Sci-Fi,1
4,2.99,143,21.99,Action,1
5,2.99,104,15.99,Documentary,1
5,2.99,130,9.99,Family,1
7,2.99,85,12.99,Animation,1
6,4.99,115,28.99,Comedy,0
7,0.99,48,9.99,Travel,1
7,2.99,84,23.99,Classics,1
4,0.99,75,9.99,Foreign,1
4,0.99,68,13.99,Comedy,1
3,2.99,172,13.99,Classics,1
5,4.99,73,11.99,Horror,1
4,4.99,75,20.99,Sci-Fi,0
3,0.99,128,9.99,Travel,0
3,2.99,74,10.99,Foreign,0
5,0.99,99,10.99,Sci-Fi,1
7,4.99,70,27.99,Sci-Fi,1
5,0.99,166,16.99,Horror,1
4,4.99,75,12.99,Music,1
7,2.99,131,28.99,Children,1
6,0.99,105,10.99,Horror,0
6,0.99,107,14.99,Family,1
4,2.99,155,25.99,Family,0
3,0.99,52,15.99,Animation,1
4,0.99,134,21.99,Family,1
6,0.99,85,10.99,New,1
5,2.99,125,11.99,Drama,0
4,2.99,85,19.99,Comedy,0
5,0.99,164,22.99,Documentary,1
6,0.99,151,12.99,Music,1
4,2.99,95,13.99,Action,1
5,2.99,134,26.99,Sci-Fi,1
6,2.99,153,21.99,Travel,0
3,0.99,102,28.99,Horror,0
3,0.99,93,29.99,Drama,1
7,4.99,136,25.99,Sci-Fi,0
3,2.99,65,18.99,Classics,1
3,2.99,114,21.99,Horror,1
7,2.99,47,20.99,Travel,1
6,4.99,178,20.99,Sports,0
6,4.99,179,29.99,Drama,1
3,2.99,130,28.99,Children,1
4,2.99,82,27.99,Horror,0
5,0.99,171,9.99,Games,1
7,2.99,122,13.99,Documentary,1
4,0.99,64,23.99,Music,1
7,2.99,136,14.99,Comedy,1
